start time,1632908804.270823
times of actions,"[[0, 0.0019788742065429688], [1, 0.2539339065551758], [0, 0.004968404769897461], [1, 0.21599602699279785], [0, 0.003999233245849609], [1, 0.2720060348510742], [0, 0.0049626827239990234], [1, 0.4709954261779785], [0, 0.005003452301025391], [1, 0.41201043128967285], [0, 0.005924701690673828], [1, 0.4039437770843506], [0, 0.0068509578704833984], [1, 0.56003737449646], [0, 0.0049991607666015625], [1, 0.5430052280426025], [0, 0.010998725891113281], [1, 0.4810023307800293], [0, 0.006042957305908203], [1, 0.3019990921020508], [0, 0.003999471664428711], [1, 0.24799847602844238], [0, 0.0030031204223632812], [1, 0.28600001335144043]]"
winner,blue
game,27
iterations,24
times of actions,"[[0, 0.002983570098876953], [1, 0.20504188537597656], [0, 0.00542449951171875], [1, 0.22600078582763672], [0, 0.0060007572174072266], [1, 0.22699880599975586], [0, 0.004998445510864258], [1, 0.2330322265625], [0, 0.00500035285949707], [1, 0.26799941062927246], [0, 0.0060002803802490234], [1, 0.3429982662200928], [0, 0.005000591278076172], [1, 0.5980045795440674], [0, 0.0050449371337890625], [1, 0.5990045070648193], [0, 0.009999513626098633], [1, 0.5639984607696533], [0, 0.004998922348022461], [1, 0.45000600814819336], [0, 0.0049991607666015625], [1, 0.39799928665161133], [0, 0.005962371826171875], [1, 0.29950547218322754]]"
winner,blue
game,28
iterations,18
times of actions,"[[0, 0.002947092056274414], [1, 0.16599345207214355], [0, 0.004001140594482422], [1, 0.18000078201293945], [0, 0.002999544143676758], [1, 0.21799969673156738], [0, 0.006001472473144531], [1, 0.40805506706237793], [0, 0.005999565124511719], [1, 0.46900320053100586], [0, 0.004999876022338867], [1, 0.3849985599517822], [0, 0.007004499435424805], [1, 0.31096839904785156], [0, 0.003999233245849609], [1, 0.2739753723144531], [0, 0.003998756408691406], [1, 0.26799678802490234]]"
winner,blue
game,29
iterations,11
times of actions,"[[0, 0.0030031204223632812], [1, 0.283005952835083], [0, 0.005980014801025391], [1, 0.5980045795440674], [0, 0.010999679565429688], [1, 0.6339983940124512], [0, 0.008968830108642578], [1, 0.8320372104644775], [0, 0.0070040225982666016], [1, 0.5760035514831543], [0, 0.0060272216796875], [1, 0.577960729598999]]"
winner,none
game,30
iterations,16
times of actions,"[[0, 0.003001689910888672], [1, 0.2760014533996582], [0, 0.005964994430541992], [1, 0.3189666271209717], [0, 0.005999088287353516], [1, 0.3320024013519287], [0, 0.0057637691497802734], [1, 0.35699939727783203], [0, 0.005999565124511719], [1, 0.6910016536712646], [0, 0.010001659393310547], [1, 0.7010104656219482], [0, 0.006000995635986328], [1, 0.5679984092712402], [0, 0.003997802734375], [1, 0.5869894027709961], [0, 0.008997917175292969]]"
winner,none
