start time,1631469037.5784643
times of actions,"[[0, 1.9658236503601074], [1, 1.8870315551757812], [0, 1.932945728302002], [1, 1.926027536392212], [0, 1.9628233909606934], [1, 2.0859992504119873], [0, 2.0778281688690186], [1, 2.0311076641082764], [0, 2.0217459201812744], [1, 2.0799999237060547], [0, 2.3530056476593018], [1, 3.500999927520752], [0, 4.290040969848633], [1, 3.553999185562134], [0, 4.096135377883911], [1, 3.725961208343506], [0, 4.262000560760498], [1, 3.6020009517669678], [0, 4.086326360702515], [1, 3.5629537105560303], [0, 4.3247034549713135], [1, 3.5960044860839844], [0, 4.120662450790405], [1, 3.5689327716827393], [0, 4.248044013977051], [1, 3.574004888534546], [0, 4.134769916534424], [1, 3.386003255844116], [0, 4.030004262924194], [1, 2.8470051288604736], [0, 3.4560365676879883], [1, 2.897298574447632], [0, 3.3320398330688477], [1, 3.0477781295776367], [0, 3.2820534706115723], [1, 3.5208802223205566]]"
winner,none
game,14
iterations,35
times of actions,"[[0, 1.940760612487793], [1, 1.9340510368347168], [0, 1.9710352420806885], [1, 2.096951723098755], [0, 1.9899985790252686], [1, 1.939995288848877], [0, 1.9770445823669434], [1, 1.9330451488494873], [0, 2.0080504417419434], [1, 2.094735860824585], [0, 2.3624866008758545], [1, 3.680042028427124], [0, 4.111819267272949], [1, 3.5630037784576416], [0, 4.06372857093811], [1, 3.722093105316162], [0, 4.093999624252319], [1, 3.5753397941589355], [0, 4.187944650650024], [1, 3.7670016288757324], [0, 4.107945680618286], [1, 3.965003490447998], [0, 4.138962030410767], [1, 3.7479348182678223], [0, 4.105999231338501], [1, 3.568040132522583], [0, 4.1049463748931885], [1, 3.6041829586029053], [0, 3.8869822025299072], [1, 2.8500006198883057], [0, 3.469998598098755], [1, 2.858015537261963], [0, 3.514955520629883], [1, 2.8770477771759033], [0, 3.3210763931274414], [1, 2.815005302429199]]"
winner,none
game,15
iterations,31
times of actions,"[[0, 1.855968713760376], [1, 1.9603979587554932], [0, 1.9740042686462402], [1, 1.924999475479126], [0, 1.9850409030914307], [1, 2.093039035797119], [0, 2.329949378967285], [1, 3.470508098602295], [0, 4.35404896736145], [1, 3.6969993114471436], [0, 4.617042064666748], [1, 3.572477102279663], [0, 4.294089317321777], [1, 3.554043769836426], [0, 4.064981460571289], [1, 3.5470423698425293], [0, 4.396042585372925], [1, 3.6119637489318848], [0, 4.16096305847168], [1, 3.6070046424865723], [0, 4.311040639877319], [1, 3.580629825592041], [0, 4.062997102737427], [1, 3.420994520187378], [0, 4.106003284454346], [1, 2.86899995803833], [0, 3.4700021743774414], [1, 2.843057870864868], [0, 3.3255300521850586], [1, 3.0300004482269287], [0, 3.3070390224456787], [1, 2.8500444889068604]]"
winner,none
game,16
iterations,28
